title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,source
About Damn Time,Lizzo,57IdGqRTGESDyidR9uUSOB,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,109,spotify:track:57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/tracks/57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/audio-analysis/57IdGqRTGESDyidR9uUSOB,191822,4,H
Lift Me Up,Rihanna,1Jb0BvBueT6TBcZKIRWoJ6,0.345,0.251,9,-14.902,1,0.0406,0.822,0.0993,0.0925,0.143,178,spotify:track:1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/tracks/1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/audio-analysis/1Jb0BvBueT6TBcZKIRWoJ6,195515,4,H
Que Vuelvas,Carin Leon X Grupo Frontera,4NfwBgmzmzx8WpyIy9C6p7,0.772,0.598,0,-7.355,0,0.0414,0.601,0.00712,0.123,0.862,141,spotify:track:4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/tracks/4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/audio-analysis/4NfwBgmzmzx8WpyIy9C6p7,391467,4,H
Low,SZA,1QnWNMc9ZSTLuAwhXzTYQT,0.667,0.678,10,-7.74,0,0.032,0.0332,0.0,0.163,0.539,129,spotify:track:1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/tracks/1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/audio-analysis/1QnWNMc9ZSTLuAwhXzTYQT,129849,4,H
One Thing At A Time,Morgan Wallen,4VWVupm8eU3Njc7YIQHs0F,0.504,0.513,0,-7.48,1,0.0277,0.129,0.0,0.685,0.0941,113,spotify:track:4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/tracks/4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/audio-analysis/4VWVupm8eU3Njc7YIQHs0F,373267,4,H
Tennessee Orange,Megan Moroney,6TQrhZOWTPmG1mESeDRyEN,0.159,0.137,0,-15.02,1,0.0369,0.603,0.918,0.108,0.0399,139,spotify:track:6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/tracks/6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/audio-analysis/6TQrhZOWTPmG1mESeDRyEN,224520,4,H
Bloody Mary,Lady Gaga,30c0cwPpyru7GjzKLJ51jM,0.794,0.522,9,-9.259,0,0.0316,0.0341,0.819,0.101,0.472,100,spotify:track:30c0cwPpyru7GjzKLJ51jM,https://api.spotify.com/v1/tracks/30c0cwPpyru7GjzKLJ51jM,https://api.spotify.com/v1/audio-analysis/30c0cwPpyru7GjzKLJ51jM,245133,4,H
What He Didn't Do,Carly Pearce,79ZBn845qsMjNPFKtuKEsF,0.523,0.723,9,-5.425,1,0.0436,0.112,0.0,0.61,0.276,138,spotify:track:79ZBn845qsMjNPFKtuKEsF,https://api.spotify.com/v1/tracks/79ZBn845qsMjNPFKtuKEsF,https://api.spotify.com/v1/audio-analysis/79ZBn845qsMjNPFKtuKEsF,194800,4,H
I Wrote The Book,Morgan Wallen,4vztnwssrON2PJAXtVf4An,0.716,0.414,9,-12.081,0,0.0618,0.538,1.04e-05,0.107,0.442,120,spotify:track:4vztnwssrON2PJAXtVf4An,https://api.spotify.com/v1/tracks/4vztnwssrON2PJAXtVf4An,https://api.spotify.com/v1/audio-analysis/4vztnwssrON2PJAXtVf4An,184831,4,H
Freestyle,Lil Baby,01JMnRUs2YOK6DDpdQASGY,0.817,0.513,10,-6.263,0,0.394,0.38,0.0,0.109,0.177,123,spotify:track:01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/tracks/01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/audio-analysis/01JMnRUs2YOK6DDpdQASGY,203438,4,H
Handle On You,Parker McCollum,6P7aZG4PRvErVyxtHIBts5,0.449,0.733,0,-3.583,1,0.0266,0.00455,6.81e-06,0.0996,0.433,142,spotify:track:6P7aZG4PRvErVyxtHIBts5,https://api.spotify.com/v1/tracks/6P7aZG4PRvErVyxtHIBts5,https://api.spotify.com/v1/audio-analysis/6P7aZG4PRvErVyxtHIBts5,194973,4,H
Everything I Love,Morgan Wallen,6KVuoJUrhbVgMrqZX5T7Kg,0.844,0.77,0,-8.629,1,0.0787,0.0422,1.38e-06,0.197,0.723,137,spotify:track:6KVuoJUrhbVgMrqZX5T7Kg,https://api.spotify.com/v1/tracks/6KVuoJUrhbVgMrqZX5T7Kg,https://api.spotify.com/v1/audio-analysis/6KVuoJUrhbVgMrqZX5T7Kg,245440,4,H
Wild As Her,Corey Kent,0IXdyGzVO91HrnNXW6P5TT,0.565,0.851,9,-5.601,1,0.0319,0.00141,0.0,0.345,0.372,125,spotify:track:0IXdyGzVO91HrnNXW6P5TT,https://api.spotify.com/v1/tracks/0IXdyGzVO91HrnNXW6P5TT,https://api.spotify.com/v1/audio-analysis/0IXdyGzVO91HrnNXW6P5TT,204040,4,H
Forget Me,Lewis Capaldi,3Xu1SbsuVDHrnzuNAZEXNB,0.716,0.454,4,-5.106,1,0.0318,0.751,0.0,0.143,0.486,102,spotify:track:3Xu1SbsuVDHrnzuNAZEXNB,https://api.spotify.com/v1/tracks/3Xu1SbsuVDHrnzuNAZEXNB,https://api.spotify.com/v1/audio-analysis/3Xu1SbsuVDHrnzuNAZEXNB,207307,4,H
Growin' Up And Gettin' Old,Luke Combs,5n4kMW5dn7MHFhXQuJb9zG,0.478,0.516,5,-7.276,1,0.0267,0.403,0.0,0.0823,0.376,80,spotify:track:5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/tracks/5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/audio-analysis/5n4kMW5dn7MHFhXQuJb9zG,196008,4,H
Here With Me,d4vd,0wY9rA9fJkuESyYm9uzVK5,0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.656,132,spotify:track:0wY9rA9fJkuESyYm9uzVK5,https://api.spotify.com/v1/tracks/0wY9rA9fJkuESyYm9uzVK5,https://api.spotify.com/v1/audio-analysis/0wY9rA9fJkuESyYm9uzVK5,171818,4,H
The Color Violet,Tory Lanez,2cK4RHjjvgs5vLrBdnZ022,0.81,0.366,0,-10.609,1,0.0841,0.0239,0.000186,0.0647,0.303,126,spotify:track:2cK4RHjjvgs5vLrBdnZ022,https://api.spotify.com/v1/tracks/2cK4RHjjvgs5vLrBdnZ022,https://api.spotify.com/v1/audio-analysis/2cK4RHjjvgs5vLrBdnZ022,188514,4,H
Spin Bout U,Drake & 21 Savage,7fyB1cxZ0zj69MQwdKnpk0,0.539,0.516,8,-10.208,1,0.027,0.254,1.23e-06,0.142,0.466,138,spotify:track:7fyB1cxZ0zj69MQwdKnpk0,https://api.spotify.com/v1/tracks/7fyB1cxZ0zj69MQwdKnpk0,https://api.spotify.com/v1/audio-analysis/7fyB1cxZ0zj69MQwdKnpk0,222647,4,H
Blind,SZA,3ADKmQCxv7dn7KboDdveMF,0.644,0.609,1,-8.041,0,0.0956,0.132,3e-06,0.332,0.345,160,spotify:track:3ADKmQCxv7dn7KboDdveMF,https://api.spotify.com/v1/tracks/3ADKmQCxv7dn7KboDdveMF,https://api.spotify.com/v1/audio-analysis/3ADKmQCxv7dn7KboDdveMF,240943,4,H
Love You Better,Future,6RZj1kBuWGiE7tgOiZErWR,0.644,0.355,5,-9.292,1,0.287,0.47,0.000313,0.112,0.549,75,spotify:track:6RZj1kBuWGiE7tgOiZErWR,https://api.spotify.com/v1/tracks/6RZj1kBuWGiE7tgOiZErWR,https://api.spotify.com/v1/audio-analysis/6RZj1kBuWGiE7tgOiZErWR,129480,4,H
La Bachata,Manuel Turizo,5QgwnXXptPRxrkglPpuraT,0.865,0.489,7,-9.508,0,0.0493,0.824,0.894,0.122,0.779,125,spotify:track:5QgwnXXptPRxrkglPpuraT,https://api.spotify.com/v1/tracks/5QgwnXXptPRxrkglPpuraT,https://api.spotify.com/v1/audio-analysis/5QgwnXXptPRxrkglPpuraT,155946,4,H
I'm Not Here To Make Friends,Sam Smith,2lsqxC8ycVQreqAGiMDrtT,0.185,0.244,9,-11.461,0,0.033,0.925,1.78e-05,0.13,0.0636,184,spotify:track:2lsqxC8ycVQreqAGiMDrtT,https://api.spotify.com/v1/tracks/2lsqxC8ycVQreqAGiMDrtT,https://api.spotify.com/v1/audio-analysis/2lsqxC8ycVQreqAGiMDrtT,211906,3,H
Nonsense,Sabrina Carpenter,7yogx3TwxGwSxO2QITsT2q,0.722,0.75,8,-4.051,1,0.0445,0.00768,0.0,0.128,0.57,139,spotify:track:7yogx3TwxGwSxO2QITsT2q,https://api.spotify.com/v1/tracks/7yogx3TwxGwSxO2QITsT2q,https://api.spotify.com/v1/audio-analysis/7yogx3TwxGwSxO2QITsT2q,153100,4,H
No Se Va,Grupo Frontera,1O0IFR3MYqgQbziKTCf0X4,0.641,0.517,0,-5.472,1,0.0673,0.528,0.0,0.136,0.642,128,spotify:track:1O0IFR3MYqgQbziKTCf0X4,https://api.spotify.com/v1/tracks/1O0IFR3MYqgQbziKTCf0X4,https://api.spotify.com/v1/audio-analysis/1O0IFR3MYqgQbziKTCf0X4,175424,4,H
10:35,Tiesto Featuring Tate McRae,3CKbz7DsOPl94W9duLx9HK,0.747,0.786,1,-5.875,1,0.0363,0.0437,0.00104,0.149,0.719,125,spotify:track:3CKbz7DsOPl94W9duLx9HK,https://api.spotify.com/v1/tracks/3CKbz7DsOPl94W9duLx9HK,https://api.spotify.com/v1/audio-analysis/3CKbz7DsOPl94W9duLx9HK,174720,4,H
Snap,Rosa Linn,4JGFQyEJXDLtB3kOL3M1F3,0.631,0.842,0,-4.022,1,0.0674,0.0495,2.25e-05,0.284,0.332,113,spotify:track:4JGFQyEJXDLtB3kOL3M1F3,https://api.spotify.com/v1/tracks/4JGFQyEJXDLtB3kOL3M1F3,https://api.spotify.com/v1/audio-analysis/4JGFQyEJXDLtB3kOL3M1F3,148023,4,H
Shut Up My Moms Calling,Hotel Ugly,3EEr6l5PYelwkrvvKX7N0X,0.375,0.63,7,-5.131,1,0.0453,0.0552,0.0,0.107,0.349,116,spotify:track:3EEr6l5PYelwkrvvKX7N0X,https://api.spotify.com/v1/tracks/3EEr6l5PYelwkrvvKX7N0X,https://api.spotify.com/v1/audio-analysis/3EEr6l5PYelwkrvvKX7N0X,202200,4,H
OMG,NewJeans,2DwUdMJ5uxv20EhAildreg,0.847,0.638,0,-3.764,1,0.0575,0.0596,0.0,0.0894,0.661,157,spotify:track:2DwUdMJ5uxv20EhAildreg,https://api.spotify.com/v1/tracks/2DwUdMJ5uxv20EhAildreg,https://api.spotify.com/v1/audio-analysis/2DwUdMJ5uxv20EhAildreg,235562,4,H
Love Language,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,H
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",1ZxJvq28DUmAFZxt9lU7n6,0.699,0.58,11,-6.753,0,0.527,0.283,0.0,0.0926,0.706,84,spotify:track:1ZxJvq28DUmAFZxt9lU7n6,https://api.spotify.com/v1/tracks/1ZxJvq28DUmAFZxt9lU7n6,https://api.spotify.com/v1/audio-analysis/1ZxJvq28DUmAFZxt9lU7n6,209736,4,H
The Black Seminole.,Lil Yachty,6vDyzD9o8aYhR1963oJpkO,0.44,0.661,5,-7.118,1,0.124,0.418,0.00264,0.621,0.61,128,spotify:track:6vDyzD9o8aYhR1963oJpkO,https://api.spotify.com/v1/tracks/6vDyzD9o8aYhR1963oJpkO,https://api.spotify.com/v1/audio-analysis/6vDyzD9o8aYhR1963oJpkO,162209,4,H
You Didn't,Brett Young,7mqsZ1HaeI8Kf67rf1YJdh,0.657,0.275,10,-15.267,1,0.0299,0.222,0.293,0.116,0.2,74,spotify:track:7mqsZ1HaeI8Kf67rf1YJdh,https://api.spotify.com/v1/tracks/7mqsZ1HaeI8Kf67rf1YJdh,https://api.spotify.com/v1/audio-analysis/7mqsZ1HaeI8Kf67rf1YJdh,222976,4,H
I Wish You Roses,Kali Uchis,6wJrDcWOIOn1MJh0FmCxhx,0.646,0.21,3,-14.846,1,0.0275,0.9,0.000165,0.109,0.594,93,spotify:track:6wJrDcWOIOn1MJh0FmCxhx,https://api.spotify.com/v1/tracks/6wJrDcWOIOn1MJh0FmCxhx,https://api.spotify.com/v1/audio-analysis/6wJrDcWOIOn1MJh0FmCxhx,230995,4,H
La Jumpa,Arcangel & Bad Bunny,6oKTVmuVSzQSLGvTFWLmf5,0.639,0.73,2,-5.927,0,0.0499,0.184,0.0,0.279,0.945,185,spotify:track:6oKTVmuVSzQSLGvTFWLmf5,https://api.spotify.com/v1/tracks/6oKTVmuVSzQSLGvTFWLmf5,https://api.spotify.com/v1/audio-analysis/6oKTVmuVSzQSLGvTFWLmf5,236400,3,H
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,02guftHiZ0nqZIcVAnf0xk,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88,spotify:track:02guftHiZ0nqZIcVAnf0xk,https://api.spotify.com/v1/tracks/02guftHiZ0nqZIcVAnf0xk,https://api.spotify.com/v1/audio-analysis/02guftHiZ0nqZIcVAnf0xk,199920,4,H
Do It Again,NLE Choppa & 2Rare,6aB3iF4BCPRWQsKZu5UjRM,0.803,0.633,11,-7.391,0,0.319,0.124,1.9e-06,0.172,0.66,160,spotify:track:6aB3iF4BCPRWQsKZu5UjRM,https://api.spotify.com/v1/tracks/6aB3iF4BCPRWQsKZu5UjRM,https://api.spotify.com/v1/audio-analysis/6aB3iF4BCPRWQsKZu5UjRM,213206,4,H
Fin de Semana,Junior H X Oscar Maydon,3AHBW7gsuWsUlstIzM689M,0.676,0.671,5,-4.202,0,0.0974,0.155,0.0,0.0533,0.834,137,spotify:track:3AHBW7gsuWsUlstIzM689M,https://api.spotify.com/v1/tracks/3AHBW7gsuWsUlstIzM689M,https://api.spotify.com/v1/audio-analysis/3AHBW7gsuWsUlstIzM689M,148794,3,H
Circo Loco,Drake & 21 Savage,2YmaKBj9Bw7jPbopzPHPMF,0.443,0.689,11,-10.048,0,0.395,0.679,0.0,0.42,0.433,95,spotify:track:2YmaKBj9Bw7jPbopzPHPMF,https://api.spotify.com/v1/tracks/2YmaKBj9Bw7jPbopzPHPMF,https://api.spotify.com/v1/audio-analysis/2YmaKBj9Bw7jPbopzPHPMF,290909,3,H
That's What Tequila Does,Jason Aldean,343VsBkNa2Ag8r09jkJROE,0.658,0.822,4,-4.988,1,0.0354,0.187,0.000852,0.1,0.766,114,spotify:track:343VsBkNa2Ag8r09jkJROE,https://api.spotify.com/v1/tracks/343VsBkNa2Ag8r09jkJROE,https://api.spotify.com/v1/audio-analysis/343VsBkNa2Ag8r09jkJROE,187173,4,H
Back End,Finesse2Tymes,6xnuV18EI3l4YQdpoZd5jY,0.88,0.746,10,-3.381,0,0.124,0.0129,0.0,0.105,0.315,130,spotify:track:6xnuV18EI3l4YQdpoZd5jY,https://api.spotify.com/v1/tracks/6xnuV18EI3l4YQdpoZd5jY,https://api.spotify.com/v1/audio-analysis/6xnuV18EI3l4YQdpoZd5jY,165479,4,H
Ditto,NewJeans,65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,127,spotify:track:65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253,4,H
Human,Cody Johnson,24Nt4OalWDICkEKVy81X6k,0.546,0.838,7,-3.51,1,0.0319,0.27,1.24e-05,0.0841,0.719,152,spotify:track:24Nt4OalWDICkEKVy81X6k,https://api.spotify.com/v1/tracks/24Nt4OalWDICkEKVy81X6k,https://api.spotify.com/v1/audio-analysis/24Nt4OalWDICkEKVy81X6k,196907,4,H
Tennessee Fan,Morgan Wallen,1eS6UVVqLhTTpNZAAP1GH7,0.529,0.955,0,-5.584,1,0.0415,0.129,3.84e-06,0.275,0.934,182,spotify:track:1eS6UVVqLhTTpNZAAP1GH7,https://api.spotify.com/v1/tracks/1eS6UVVqLhTTpNZAAP1GH7,https://api.spotify.com/v1/audio-analysis/1eS6UVVqLhTTpNZAAP1GH7,203133,4,H
Knight Crawler,Trippie Redd & Juice WRLD,3IBySSAIfzt0vVhgGaiZA6,0.681,0.763,0,-3.604,1,0.253,0.034,0.0,0.315,0.439,130,spotify:track:3IBySSAIfzt0vVhgGaiZA6,https://api.spotify.com/v1/tracks/3IBySSAIfzt0vVhgGaiZA6,https://api.spotify.com/v1/audio-analysis/3IBySSAIfzt0vVhgGaiZA6,177231,4,H
California Breeze,Lil Baby,4vACcnMMyDhdGIardAf4XW,0.628,0.845,9,-4.837,1,0.0398,0.0537,0.0,0.378,0.801,116,spotify:track:4vACcnMMyDhdGIardAf4XW,https://api.spotify.com/v1/tracks/4vACcnMMyDhdGIardAf4XW,https://api.spotify.com/v1/audio-analysis/4vACcnMMyDhdGIardAf4XW,201653,4,H
Next Thing You Know,Jordan Davis,2NJQkZx5VEpKk8moUyK7ph,0.654,0.737,5,-6.281,1,0.0341,0.247,0.0,0.14,0.835,117,spotify:track:2NJQkZx5VEpKk8moUyK7ph,https://api.spotify.com/v1/tracks/2NJQkZx5VEpKk8moUyK7ph,https://api.spotify.com/v1/audio-analysis/2NJQkZx5VEpKk8moUyK7ph,199933,4,H
Hey Mor,Ozuna Featuring Feid,2eor30onI6Gj1AaITJPf7R,0.78,0.823,0,-2.926,1,0.249,0.239,0.0,0.458,0.749,93,spotify:track:2eor30onI6Gj1AaITJPf7R,https://api.spotify.com/v1/tracks/2eor30onI6Gj1AaITJPf7R,https://api.spotify.com/v1/audio-analysis/2eor30onI6Gj1AaITJPf7R,219377,4,H
Gato de Noche,Nengo Flow & Bad Bunny,0u7LUx0nbjhZSkGxTegLvz,0.564,0.537,4,-7.157,0,0.0526,0.384,0.0,0.246,0.3,165,spotify:track:0u7LUx0nbjhZSkGxTegLvz,https://api.spotify.com/v1/tracks/0u7LUx0nbjhZSkGxTegLvz,https://api.spotify.com/v1/audio-analysis/0u7LUx0nbjhZSkGxTegLvz,245191,3,H
Heart To Heart,Mac DeMarco,7Dr5sMI3LTFikn8gseY1rm,0.901,0.137,8,-16.127,0,0.104,0.664,0.402,0.109,0.643,150,spotify:track:7Dr5sMI3LTFikn8gseY1rm,https://api.spotify.com/v1/tracks/7Dr5sMI3LTFikn8gseY1rm,https://api.spotify.com/v1/audio-analysis/7Dr5sMI3LTFikn8gseY1rm,211140,4,H
Never Gonna Not Dance Again,P!nk,0Uv0h4QmjeR9ew5AjyBR3i,0.675,0.775,5,-4.072,0,0.0738,0.0272,0.0,0.113,0.8,114,spotify:track:0Uv0h4QmjeR9ew5AjyBR3i,https://api.spotify.com/v1/tracks/0Uv0h4QmjeR9ew5AjyBR3i,https://api.spotify.com/v1/audio-analysis/0Uv0h4QmjeR9ew5AjyBR3i,225789,4,H
Dancin' In The Country,Tyler Hubbard,0U4iRayct65wsaBMQGiLbg,0.605,0.79,5,-5.576,1,0.0454,0.16,0.0,0.126,0.507,106,spotify:track:0U4iRayct65wsaBMQGiLbg,https://api.spotify.com/v1/tracks/0U4iRayct65wsaBMQGiLbg,https://api.spotify.com/v1/audio-analysis/0U4iRayct65wsaBMQGiLbg,189773,4,H
